,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
29060,19.77,45.79,1.4,4.99,7.23,0.0,14.56,26.57,50.0,4
29061,96.65,482.14,32.23,19.473333333333333,7.47,3.35,28.02,9.83,418.0,4
29062,45.18000000000001,107.30333333333333,12.62,15.2,85.61,9.99,9.42,19.3,195.66666666666666,4
29063,79.93,105.07000000000001,9.04,87.24,3.78,1.12,37.85,93.57,166.0,4
29064,36.33,97.67,21.17,26.54,18.73,0.7,6.28,30.25,100.0,4
29065,56.81,210.23,7.73,40.11,38.78,0.7,7.74,51.24,147.0,4
29066,40.33,127.5,9.14,34.26,8.97,0.45,7.3,17.03,114.0,4
29067,18.48,62.52,3.36,12.71,6.68,0.76,7.38,17.57,79.0,4
29068,74.54,66.41000000000001,5.27,17.12,24.736666666666665,1.2,5.22,15.85,106.0,4
29069,43.86,117.66,20.82,40.33,45.86,1.21,11.99,31.11,151.0,4
29070,67.39,144.11,23.65,52.87,42.68,1.28,10.4,59.05,220.0,4
29071,15.04,23.51,3.91,17.15,30.59,5.43,1.73,65.62,181.0,4
29072,83.4,73.97666666666667,5.23,33.11,12.64,1.1,5.96,38.37,182.0,4
29073,44.51,81.74333333333333,5.62,10.9,67.23,0.92,7.69,18.38,93.0,4
29074,52.78333333333334,136.17333333333335,3.26,17.33,20.36,0.33,3.54,10.73,149.66666666666666,4
29075,72.69,130.12,8.95,8.92,6.92,0.34,66.14666666666668,20.8,174.0,4
29076,26.75,131.45,35.66,3.2,8.2,1.5,26.89,7.52,116.0,4
29077,53.9,111.12,10.73,5.4,6.04,0.59,11.04,18.54,105.0,4
29078,28.11,65.25,125.92333333333333,237.27,25.24,0.82,4.64,72.86,72.0,4
29079,111.82,44.06666666666666,5.45,21.52,11.089999999999998,1.19,5.26,54.38,231.0,4
29080,310.3,78.73666666666666,17.57,23.17,30.549999999999997,2.07,8.55,28.94,460.0,4
29081,36.64,143.90666666666667,23.31,69.91,6.56,2.14,46.88,52.47,116.0,4
29082,95.6,150.87,3.15,36.79,13.87,0.92,8.15,87.59,114.0,4
29083,234.89,277.40333333333336,7.85,10.13,15.29,1.0266666666666666,5.22,8.75,387.0,4
29084,45.36,74.62,4.27,16.05,7.52,3.17,12.69,23.72,116.0,4
29085,131.05,256.85,74.5,23.34,2.16,1.92,21.48,17.62,271.0,4
29086,32.05,35.35666666666666,2.46,7.08,8.42,0.34,1.69,48.35,83.0,4
29087,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29088,41.16,64.35333333333334,6.91,10.51,6.323333333333333,6.91,13.48,3.69,172.0,4
29089,24.63,39.84,12.3,21.11,11.54,1.09,9.27,24.04,71.0,4
29090,11.49,47.69,1.48,6.9,6.93,0.42,12.34,38.36,50.0,4
29091,55.13,148.99,12.48,39.79,29.39,0.28,17.65,64.27,179.0,4
29092,81.74,31.003333333333334,3.79,9.86,225.01,1.77,2.11,39.39,165.0,4
29093,19.86,67.86,15.55,11.79,9.32,0.0,2.03,25.65,63.0,4
29094,48.86,96.42,16.74,46.55,29.72,1.01,8.15,46.4,101.0,4
29095,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29096,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
29097,14.3,52.48,23.01,6.24,4.3,0.35,20.98,19.58,65.0,4
29098,9.77,35.42,1.48,12.59,3.34,0.32,21.81,28.75,41.0,4
29099,46.19,76.34666666666668,59.67,118.9,3.78,2.61,55.33,82.8,87.0,4
29100,19.12,65.59,7.04,28.24,23.68,0.58,4.79,19.47,45.0,4
29101,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29102,36.92,78.56,18.26,23.69,8.93,0.94,10.12,17.9,114.0,4
29103,39.68,117.51,20.89,77.12,24.356666666666666,20.89,139.31,71.62,408.0,4
29104,36.8,125.36666666666667,4.5,4.71,6.56,1.3,44.29,76.52,128.0,4
29105,20.16,63.53,5.14,17.51,10.04,0.63,3.91,33.55,68.0,4
29106,26.23,61.07,18.86,20.68,8.03,0.7,9.99,12.16,62.0,4
29107,76.35,363.7,14.0,26.97,33.13,1.05,8.96,28.38,294.0,4
29108,65.04,92.12,6.09,40.18,9.663333333333334,1.14,25.3,22.46,250.0,4
29109,24.22,48.4,4.92,10.9,8.74,0.39,6.07,40.49,67.0,4
29110,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29111,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
29112,28.22,153.3,5.8,21.5,27.79,2.09,2.69,34.32,61.0,4
29113,47.43,100.18,8.87,32.6,37.1,0.8,11.11,30.86,103.0,4
29114,43.35,75.89,5.31,7.9,4.17,0.63,4.03,49.35,86.0,4
29115,21.97,81.58,12.77,26.51,8.56,0.52,22.25,12.68,76.0,4
29116,359.63,25.493333333333336,5.94,10.14,21.866666666666664,0.46,3.74,15.97,332.0,4
29117,56.85,102.04,7.34,17.3,39.09,1.02,18.01,37.77,118.0,4
29118,146.03,296.27,41.52,79.43,35.09,1.56,26.86,117.2,334.0,4
29119,52.58,139.65,9.92,5.98,3.78,0.21,1.31,31.69,138.0,4
29120,43.31,65.82333333333334,4.46,15.45,5.516666666666667,0.07,7.09,32.19,90.0,4
29121,228.15,87.59666666666668,7.86,10.77,19.37333333333333,1.25,3.98,19.12,390.0,4
29122,29.78,99.14,2.88,19.35,8.82,0.59,67.11333333333333,50.52,126.0,4
